sigma0,sigma1,sigma2,phase_var
0.1,0.1,0.1,0.014944760461029096
0.1,0.1,0.2,0.012726195003283185
0.1,0.1,0.30000000000000004,0.011426622947811745
0.1,0.1,0.4,0.010234920436530896
0.1,0.1,0.5,0.009487828070445513
0.1,0.1,0.6,0.009042572231211757
0.1,0.1,0.7000000000000001,0.008705861826977626
0.1,0.1,0.8,0.008475146691117645
0.1,0.1,0.9,0.008274326928512292
0.1,0.1,1.0,0.008178232327724338
0.1,0.1,1.1,0.008407312235633832
0.1,0.1,1.2000000000000002,0.008152809223715245
0.1,0.1,1.3000000000000003,0.00805883583437608
0.1,0.1,1.4000000000000001,0.00806922425859057
0.1,0.1,1.5000000000000002,0.008196404690296526
0.1,0.1,1.6,0.008398240545205791
0.1,0.1,1.7000000000000002,0.00861054286506052
0.1,0.1,1.8000000000000003,0.008724232396783143
0.1,0.1,1.9000000000000001,0.008876901300720693
0.1,0.1,2.0,0.008832370196803654
0.1,0.1,2.1,0.009093906458650998
0.1,0.1,2.2,0.009369279339785402
0.1,0.1,2.3000000000000003,0.00932276534369418
0.1,0.1,2.4000000000000004,0.009782257685106467
0.1,0.1,2.5000000000000004,0.010068692462975645
0.1,0.1,2.6,0.010248608037061352
0.1,0.1,2.7,0.010136594645855262
0.1,0.1,2.8000000000000003,0.010729614522127236
0.1,0.1,2.9000000000000004,0.010979512281372209
0.1,0.1,3.0000000000000004,0.011204712134534415
0.1,0.1,3.1,0.011456534158708934
0.1,0.2,0.1,0.010384806564882552
0.1,0.2,0.2,0.009469028696302503
0.1,0.2,0.30000000000000004,0.008701289585786483
0.1,0.2,0.4,0.008196497066954989
0.1,0.2,0.5,0.007799147380527503
0.1,0.2,0.6,0.00763506081837122
0.1,0.2,0.7000000000000001,0.007235888883277947
0.1,0.2,0.8,0.007150601324107187
0.1,0.2,0.9,0.007198896354451879
0.1,0.2,1.0,0.007274802489449599
0.1,0.2,1.1,0.007187741840147845
0.1,0.2,1.2000000000000002,0.0071965702616027735
0.1,0.2,1.3000000000000003,0.007293225777085274
0.1,0.2,1.4000000000000001,0.007507275831511858
0.1,0.2,1.5000000000000002,0.007620637502992258
0.1,0.2,1.6,0.0077555101881909205
0.1,0.2,1.7000000000000002,0.007823203969343544
0.1,0.2,1.8000000000000003,0.008056582933759318
0.1,0.2,1.9000000000000001,0.00809425651182491
0.1,0.2,2.0,0.008229623205597964
0.1,0.2,2.1,0.008735531359124001
0.1,0.2,2.2,0.008775201169841334
0.1,0.2,2.3000000000000003,0.008894971026541965
0.1,0.2,2.4000000000000004,0.009195412037539558
