sigma0,sigma1,sigma2,phase_var
0.1,0.1,0.1,0.014923722599564399
0.1,0.1,0.2,0.012554901395653288
0.1,0.1,0.30000000000000004,0.010796353389076783
0.1,0.1,0.4,0.009673660030435264
0.1,0.1,0.5,0.00896406447493642
0.1,0.1,0.6,0.008410611662742394
0.1,0.1,0.7000000000000001,0.008113249336663257
0.1,0.1,0.8,0.007724789353656134
0.1,0.1,0.9,0.007565186512536482
0.1,0.1,1.0,0.007550933516217514
0.1,0.1,1.1,0.007561595698375801
0.1,0.1,1.2000000000000002,0.007600842709042154
0.1,0.1,1.3000000000000003,0.007600879834971959
0.1,0.1,1.4000000000000001,0.007687777173486381
0.1,0.1,1.5000000000000002,0.007594133452683789
0.1,0.1,1.6,0.007686224859362401
0.1,0.1,1.7000000000000002,0.007973174872372346
0.1,0.1,1.8000000000000003,0.008180673078009314
0.1,0.1,1.9000000000000001,0.00830363612899855
0.1,0.1,2.0,0.008495761019085644
0.1,0.2,0.1,0.010486582666551409
0.1,0.2,0.2,0.009340081100513358
0.1,0.2,0.30000000000000004,0.008595397198858457
0.1,0.2,0.4,0.007841845189314045
0.1,0.2,0.5,0.007306887760208266
0.1,0.2,0.6,0.0070521269518221096
0.1,0.2,0.7000000000000001,0.0067766468189914145
0.1,0.2,0.8,0.006681556630640797
0.1,0.2,0.9,0.006627193514651003
0.1,0.2,1.0,0.0067854690004895005
0.1,0.2,1.1,0.006562281308670388
0.1,0.2,1.2000000000000002,0.00668552086857802
0.1,0.2,1.3000000000000003,0.0067442209622657736
0.1,0.2,1.4000000000000001,0.006974257573583904
0.1,0.2,1.5000000000000002,0.007033651548276261
0.1,0.2,1.6,0.007112195669100108
0.1,0.2,1.7000000000000002,0.007392886976765475
0.1,0.2,1.8000000000000003,0.00750348423932464
0.1,0.2,1.9000000000000001,0.007662922509894206
0.1,0.2,2.0,0.008064632191595544
0.1,0.30000000000000004,0.1,0.00839602176329182
0.1,0.30000000000000004,0.2,0.007660004242435679
0.1,0.30000000000000004,0.30000000000000004,0.007102269983945545
0.1,0.30000000000000004,0.4,0.00669166007055602
0.1,0.30000000000000004,0.5,0.006425270472448345
0.1,0.30000000000000004,0.6,0.00626070448788205
0.1,0.30000000000000004,0.7000000000000001,0.006161676387645344
0.1,0.30000000000000004,0.8,0.0061590250354256635
0.1,0.30000000000000004,0.9,0.006100335803418263
0.1,0.30000000000000004,1.0,0.006084982608285729
0.1,0.30000000000000004,1.1,0.006012781034441436
0.1,0.30000000000000004,1.2000000000000002,0.006203494713756241
0.1,0.30000000000000004,1.3000000000000003,0.006261999127893673
0.1,0.30000000000000004,1.4000000000000001,0.00645648383537222
0.1,0.30000000000000004,1.5000000000000002,0.006592241980044947
0.1,0.30000000000000004,1.6,0.006693784369938905
0.1,0.30000000000000004,1.7000000000000002,0.006793166555746977
0.1,0.30000000000000004,1.8000000000000003,0.0070546304860045405
